level,province_name,province_code,district_name,district_code,tehsil_name,tehsil_code
district,Azad Kashmir,NA,Bagh,PK101,NA,NA
district,Azad Kashmir,NA,Bhimber,PK102,NA,NA
district,Azad Kashmir,NA,Haveli,PK104,NA,NA
district,Azad Kashmir,NA,Jhelum Valley,PK103,NA,NA
district,Azad Kashmir,NA,Kotli,PK105,NA,NA
district,Azad Kashmir,NA,Mirpur,PK106,NA,NA
district,Azad Kashmir,NA,Muzaffarabad,PK107,NA,NA
district,Azad Kashmir,NA,Neelum,PK108,NA,NA
district,Azad Kashmir,NA,Poonch,PK109,NA,NA
district,Azad Kashmir,NA,Sudhnoti,PK110,NA,NA
district,Balochistan,NA,Awaran,PK201,NA,NA
district,Balochistan,NA,Barkhan,PK202,NA,NA
district,Balochistan,NA,Chagai,PK203,NA,NA
district,Balochistan,NA,Chaman,PK235,NA,NA
district,Balochistan,NA,Dera Bugti,PK204,NA,NA
district,Balochistan,NA,Duki,PK234,NA,NA
district,Balochistan,NA,Gwadar,PK205,NA,NA
district,Balochistan,NA,Harnai,PK206,NA,NA
district,Balochistan,NA,Jaffarabad,PK207,NA,NA
district,Balochistan,NA,Jhal Magsi,PK208,NA,NA
district,Balochistan,NA,Kachhi,PK209,NA,NA
district,Balochistan,NA,Kalat,PK210,NA,NA
district,Balochistan,NA,Kech,PK211,NA,NA
district,Balochistan,NA,Kharan,PK212,NA,NA
district,Balochistan,NA,Khuzdar,PK213,NA,NA
district,Balochistan,NA,Killa Abdullah,PK214,NA,NA
district,Balochistan,NA,Killa Saifullah,PK215,NA,NA
district,Balochistan,NA,Kohlu,PK216,NA,NA
district,Balochistan,NA,Lasbela,PK217,NA,NA
district,Balochistan,NA,Lehri,PK218,NA,NA
district,Balochistan,NA,Loralai,PK219,NA,NA
district,Balochistan,NA,Mastung,PK220,NA,NA
district,Balochistan,NA,Musakhel,PK221,NA,NA
district,Balochistan,NA,Nasirabad,PK222,NA,NA
district,Balochistan,NA,Nushki,PK223,NA,NA
district,Balochistan,NA,Panjgur,PK224,NA,NA
district,Balochistan,NA,Pishin,PK225,NA,NA
district,Balochistan,NA,Quetta,PK226,NA,NA
district,Balochistan,NA,Shaheed Sikandarabad,PK233,NA,NA
district,Balochistan,NA,Sherani,PK227,NA,NA
district,Balochistan,NA,Sibi,PK228,NA,NA
district,Balochistan,NA,Sohbatpur,PK229,NA,NA
district,Balochistan,NA,Washuk,PK230,NA,NA
district,Balochistan,NA,Zhob,PK231,NA,NA
district,Balochistan,NA,Ziarat,PK232,NA,NA
district,Gilgit Baltistan,NA,Astore,PK301,NA,NA
district,Gilgit Baltistan,NA,Darel,PK311,NA,NA
district,Gilgit Baltistan,NA,Diamir,PK302,NA,NA
district,Gilgit Baltistan,NA,Ghanche,PK303,NA,NA
district,Gilgit Baltistan,NA,Ghizer,PK304,NA,NA
district,Gilgit Baltistan,NA,Gilgit,PK305,NA,NA
district,Gilgit Baltistan,NA,Gupis-Yasin,PK313,NA,NA
district,Gilgit Baltistan,NA,Hunza,PK306,NA,NA
district,Gilgit Baltistan,NA,Kharmang,PK309,NA,NA
district,Gilgit Baltistan,NA,Nagar,PK308,NA,NA
district,Gilgit Baltistan,NA,Rondu,PK314,NA,NA
district,Gilgit Baltistan,NA,Shigar,PK310,NA,NA
district,Gilgit Baltistan,NA,Skardu,PK307,NA,NA
district,Gilgit Baltistan,NA,Tangir,PK312,NA,NA
district,Islamabad,NA,Islamabad,PK401,NA,NA
district,Khyber Pakhtunkhwa,NA,Abbottabad,PK501,NA,NA
district,Khyber Pakhtunkhwa,NA,Bajaur,PK502,NA,NA
district,Khyber Pakhtunkhwa,NA,Bannu,PK503,NA,NA
district,Khyber Pakhtunkhwa,NA,Batagram,PK504,NA,NA
